Date,Open,Range,Volume,Log_Volume,Return_Percentage,3_Day_Avg_AdjClose(Delay),PriorDay_AdjClose,Adj_Close
6/12/2023,392,9.12,38870100,7.59,1.84%,382.433604,387.62,394.73
6/13/2023,401.86,13.61,61320800,7.79,3.90%,389.1221517,394.73,410.13
6/14/2023,408.24,24.48,74046500,7.87,4.81%,397.4936623,410.13,429.88
6/15/2023,426.02,11.42,56862200,7.75,-0.80%,411.5805967,429.88,426.44
6/16/2023,434.5,10.6,65475500,7.82,0.09%,422.1482947,426.44,426.83
6/20/2023,429.98,13.16,45115300,7.65,2.61%,427.713755,426.83,437.98
6/21/2023,435.01,15.35,55160300,7.74,-1.74%,430.4165037,437.98,430.36
6/22/2023,422.53,11.92,41773700,7.62,-0.05%,431.72289,430.36,430.16
6/23/2023,424.64,7.94,35632300,7.55,-1.90%,432.8326517,430.16,422
6/26/2023,424.61,26.64,59432200,7.77,-3.74%,427.5038047,422,406.23
6/27/2023,407.99,14.92,46217500,7.66,3.06%,419.4622193,406.23,418.67
6/28/2023,406.6,13.27,58263900,7.77,-1.81%,415.6330463,418.67,411.08
6/29/2023,415.58,10,38051400,7.58,-0.72%,411.993835,411.08,408.13
6/30/2023,416.8,10.49,50053400,7.7,3.63%,412.6270343,408.13,422.93
7/3/2023,425.17,6.96,19820900,7.3,0.26%,414.0467123,422.93,424.04
7/5/2023,421.35,10.92,32361800,7.51,-0.23%,418.3657737,424.04,423.08
7/6/2023,418.44,8.33,30358200,7.48,-0.51%,423.3480327,423.08,420.94
7/7/2023,423.22,10.34,35525300,7.55,0.95%,422.684855,420.94,424.94
7/10/2023,426.57,11.62,35390800,7.55,-0.76%,422.9848023,424.94,421.71
7/11/2023,424.81,6.91,29824400,7.47,0.53%,422.528229,421.71,423.96
7/12/2023,430.33,11.58,48127700,7.68,3.53%,423.534658,423.96,438.92
7/13/2023,445.18,16.63,47820400,7.68,4.73%,428.1969607,438.92,459.67
7/14/2023,465.83,30.28,77066400,7.89,-1.11%,440.8508607,459.67,454.59
7/17/2023,462.89,12.34,51048800,7.71,2.18%,451.0619917,454.59,464.51
7/18/2023,467.01,21.62,57019000,7.76,2.22%,459.590149,464.51,474.84
7/19/2023,474.64,10.76,42750200,7.63,-0.88%,464.6457317,474.84,470.67
7/20/2023,465.07,20.25,53786500,7.73,-3.31%,470.0045573,470.67,455.1
7/21/2023,457.88,17.66,96283200,7.98,-2.66%,466.868571,455.1,442.99
7/24/2023,447.31,10.69,38251600,7.58,0.68%,456.2542113,442.99,446.02
7/25/2023,449.41,12.6,34808100,7.54,2.39%,448.039337,446.02,456.69
7/26/2023,460.21,14.23,36423700,7.56,-0.50%,448.569224,456.69,454.42
7/27/2023,465.19,16.45,45597600,7.66,0.99%,452.3783877,454.42,458.9
7/28/2023,466.68,6.46,33119400,7.52,1.85%,456.670797,458.9,467.4
7/31/2023,467.54,6.24,25105500,7.4,-0.05%,460.240021,467.4,467.19
8/1/2023,464.6,8.73,23785800,7.38,-0.48%,464.4957787,467.19,464.97
8/2/2023,458.31,24.53,53014200,7.72,-4.81%,466.5186667,464.97,442.59
8/3/2023,438,13.18,32417600,7.51,0.56%,458.250468,442.59,445.05
8/4/2023,449.85,12.49,36225800,7.56,0.37%,450.8720703,445.05,446.7
8/7/2023,451.11,9.77,32215400,7.51,1.65%,444.7833863,446.7,454.07
8/8/2023,448.53,11.86,35384300,7.55,-1.66%,448.6092227,454.07,446.54
8/9/2023,442.74,21.78,58644900,7.77,-4.72%,449.1057843,446.54,425.45
8/10/2023,421.6,17.39,49270500,7.69,-0.39%,442.0206607,425.45,423.79
8/11/2023,417.51,13.79,53200900,7.73,-3.62%,431.9261883,423.79,408.46
